text,type
"Musk ku phone pannata 
Musk eh ungalauku reply pannitaru thala😎😎🔥🔥🔥",tanglish
Thala super,tanglish
STD - ன்னா varalaru dhaanaa..🤣🤣,tamil_english
Bro song nalla irruku😁,tanglish
Va thala,tanglish
Nalla illa,tanglish
Semma thala 💕,tanglish
Nice thala,tanglish
Nalla paduuu😄😄😄🤣🤣,tanglish
"Madan anna semayaa pesuvinga avalavu supera nalla remarks, apo eduku intha paatu, thevaye illa parunga 21 k dislikes including me, vendaam anna unga theramaya veen pannidaadinga",tanglish
1:08 thala Vera maari danceu 🤣🤣,tanglish
Super MG😍 hero va role panna nalla irukum🤪,tanglish
Indha paata 2xla patha sema comediya iruku but nalla iruku,tanglish
Madan Gowri  தமிழ்நாட்டில் நடந்து கொண்டுயிருக்கும் சிலை கடத்தல் பற்றி பேசுங்கள்,tamil_english
Hi nice info.Hacking pathi pesuna nalla iruku and awareness romba important illaya neenga sonna camera visyam already news channel la pathuruken. So camera epdi handle panrathu and photograph selfies pathi pesunga becoz nowadays intha visyam than trend la iruku and I want to share many things to u but I don't know  how so na sonnathu useful ah irukum nu namburen,tanglish
"Madan Gowri சகோ,  தயவுசெய்து  ஹுலர் பாஸ்கர் அவர்கள் பற்றி பேசுங்க",tamil_english
"Madan Gowri சகோ,  தயவுசெய்து  ஹுலர் பாஸ்கர் அவர்கள் பற்றி பேசுங்க",tamil_english
Madan Gowri bro whatsappla link Mari varuma bro,tanglish
Nalla tahavalhalukku nanrihal ithumathiri innum nalla tahavalhai podanum suvarashyama tahavalhalum podanu ennudaiya manmartha nanrihal ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,tanglish
பேய் story sollunga anna,tamil_english
"👈பூமியை காப்பாற்ற ஒரே ஒரு வழிதான் !
See this topic vdo👆 in my channel...and give your feedback friends",tamil_english
"Bro, intha kaari thaan bro news la phone Ku passants addict aavuraanga சொன்னாங்க bro. Athan enga parents பாதாங்க. Ennaku music na interest so music vechu oru YouTube channel aarambichan AANA  one day Ku 4 to 5 hours use பண்ணதாள , naan eppa பாதலும் phone use pandran naan phone addict nu solli solli kastapaduthuraanga 😔😔😔🥺 அதுனால நான் create Panna YouTube channel லே delete pannitan ஆனாலும் இப்பவும் phone eddutha odaney Enna phone addict nu சொல்லுறாங்க😭😭😭😭.music மெல இருந்த interest டை பூடும் போல. என்ன பண்றது bro . Neenga paapingalanu theriyala paatha naan சந்தோஷப் பாடுவேன். நான் YouTube channel aarambichuday enga Amma phone ல தான் என்னகுனு phone கேகல bro, 😭😭😭",tamil_english
2023 யாராவது பாத்துடு erukkingala,tamil_english
Thanks anna,tanglish
2023 இல் யாரெல்லாம் இந்த video பாக்குறிங்க?,tamil_english
"எந்த மூஞ்சிய வச்சிக்கிட்டு
MOMO இந்த மாதிரி வேலையெல்லாம்  பண்ணுது  ???",tamil_english
Haii 😀thala ❤️,tanglish
Thanks anna,tanglish
I'm share my friends anna thanks anna,tanglish
ANNA THANKS ANNA NOW I AM AWARENESS,tanglish
இன் india,tamil_english
Very usful bro very thank you bro neega nalla erukkunum bro i love you bro❤😘,tanglish
O no how we காப்பாத்து,tamil_english
Momo our ghost  ஆ,tamil_english
11 year அண்ணா 😔😔,tamil_english
bathroom song itha video va vida  adigama views varuma ?,tanglish
Thank you அன்னா,tamil_english
Hi thala,tanglish
Hi thala,tanglish
"ENNAKU MOMO NUMBER KODU BRO 

NA POI PROPOSE PANNARAN 

DP VERA LVL அலகு 

I love you momo ❤️",tamil_english
Thanks for your care anna😀,tanglish
"எப்படி மதன்.
பிள்ளைகள், passward போட்டு லாக் பண்ணி வச்சிருக்காங் க.
மீறி கேட்டால் பிரைவசி,
Freedom இல்லியா, கோபம், ஆமா அப்படிதான் என்கிறார்கள்.
Recharge பண்ணாமல் இருக்கவும் முடிவதில்லை. ஆன்லைன் கிளாஸ் என்கிற இளவு வேற. Future பாதிக்க கூடாது என்று பார்த்தால் , future என்று இருக்காது போல தோணுது மதன் 😭❤️😭",tamil_english
Thanks anna,tanglish
Thanks anna,tanglish
Uncle I am always using WhatsApp நீங்க சொன்ன மாதிரியே என்ன செய்ற ரொம்ப thanks uncle 🙂☺️,tamil_english
நன்றி Bro,tamil_english
Vaa thala vaa thala,tanglish
Vanakam thala,tanglish
@Dharaneesh-s2w  sollu thala,tanglish
Thanks  anna,tanglish
VERA LVL THALA,tanglish
Ama Thala,tanglish
"Gowri Kalyanam:

எகன மொகன பாட்ட போடு 
ஊரத்தா உசுப்பி பட்ர போடு 

எகன மொகன பாட்ட போடு 
ஊரத்தா உசுப்பி பட்ர போடு 
மாப்புள்ள பொண்ணு சோடி பாருய்யா
வெரசா வந்து நீ சுத்தி போடுய்யா 

சேக்காளி கூட்டந்தா ஓண்ணாகுதே 
பொறத்தால பையத்தா கடபோடுதே 


மக்கா மக்கா யக்கா யக்கா 
யம்மா யம்மா சும்மா சும்மா 

வாழமரம் பந்தலுக்கு 
மைக்குசெட்டு கொண்டையாச்சு 
ஆலமரம் போல இங்க 
சொந்தம் பந்தம் கூடியாச்சு 
கெட்டிமேள சத்தத்துல 
திருஷ்டி இப்ப (கண்ணடிதா) ஓடி போச்சு 
மாமனுங்க ரவுண்டு கட்டி
தீருதய்யா மொய்யி நோட்டு 




சீருசனத்திக்கு சேருதய்யா பகுமானம் 
கூட இதயத்த தந்துபுட்டா சூதானம் 
பொண்ணு மொகமெல்லா ஏறுதய்யா சந்தோஷம் 
மாப்புள்ள வச்சுக்கணும் இப்படியே எப்போதும் 

கருக்கல் சேரத்தானே 
துடிக்கும் மாப்புள்ளதா 
ஒசக்க போகணுமே 
இவங்க சந்ததிதா 

மக்கதா சேருது 
வெஞ்சனம் தீருது 
நண்டு சிண்டு ஓட 
கொட்டாரமே லந்தாச்சு",tamil_english
இதில உங்க wife ஆண்ட்டி மாறி இருக்கு bro,tamil_english
Song romba nalla irukudhu 100 varusam nalla happy ya irunga,tanglish
Super pa... வாழ்த்துக்கள்...🖖,tamil_english
வாழ்த்துக்கள் bro,tamil_english
Thala It's like a movie 🍿.... Happy Married Life,tanglish
Pro grandmother you கல்யாணம்,tamil_english
அண்ணா ஒரு சிறிய வேண்டுகோள்....... அண்ணிய ஒரு முறை ஒரே ஒரு முறை மட்டும் நீங்கள் liveல் வரும்போது வேறும் hello everyone மட்டும்‌ சொல்ல சொல்லுங்க please please please please please please please please please Anna.....,tamil_english
Life long akkavum annavum nalla iruka vaalthukkal....,tanglish
அண்ணா ஒரு DANCE ஆடியிருந்தா Vera level,tamil_english
Vera 11 thala,tanglish
"Enna thala video ilanu 
Ita potirUu",tanglish
Startingla eruka butterfly effect மட்டும் புரில மதன். Explain பண்ணுங்க,tamil_english
Congratulations maamey😍🙏🏻❤️❤️❤️❤️❤️❤️❤️வாழ்க பல்லாண்டு,tamil_english
என்ன மதன நம்மளை எல்லாம் கூப்பிடாம கல்யாணத்த முடிச்சிட்ட just fun,tamil_english
Vera level 🤗🤗🥰thala congrats,tanglish
Lyrics Ningale Va    Bro Nice    . நீங்கள் இருவரும்  இன்று போல் என்றும்  புன்னகையுடன்  இருக்க  தம்பியின்   வாழ்த்துக்கள்  .,tamil_english
All the best for your hard Work pays Off thanks for everything Anna 👨‍👩‍👧‍👦💪,tanglish
Dai madanu nee DMK karana ennada DMK ku sapporta pesuranu patha ippatha nalla purithi PTR iruka,tanglish
நண்பர்களே நான் சிறிய youtuber  தயவுசெய்து உங்கள் ஆதரவு என்னோட சேனலுக்கும் கொடுங்க 🙏 please🙏🏻🙏🏻🙏...,tamil_english
"யோவ் கடைசில கல்யாணம்பண்ணிடேளயா 😜😜😜😜😜
But anyways, Happy married life madan Anna 🖖🖖🖖🖖🖖",tamil_english
Kalai katichu thala.,tanglish
"இப்போது என்ன நிலையில் இருக்கு குடும்பம் எல்லோரும் நலமா, குழந்தை, etc...",tamil_english
Eathukku da இப்போ recommend pannuthu 👀,tamil_english
"Thirumba nalla padiya senthutangalo etho nalla iruntha sari 
Mg mind :  nanga eppodaa pirinjom 😅",tanglish
இத்த வீடியோவை hide பண்ணி வச்சிருந்தியே மதனு .. எப்படி unhide ஆச்சு 🤔..ஒன்று சேர்ந்து விட்டீர்களா .. ரொம்ப சந்தோஷம் ❤🎉,tamil_english
என்ன ப்ரோ திடீர் recommendation,tamil_english
"Madan follower 7.77 Lakhs and now trending…
Thala for reason 7",tanglish
"Archive la irundhu eduthutaaru MGna heyyyyy!!
Onna, nalla irundhaa maghizchi",tanglish
எனக்கு மட்டும் தான் Recommend பண்ணுதுனு பார்த்தா எனக்கு முன்னாடி ஒரு ஊரே வந்துருகிங்களேயா...😮😂😂😂,tamil_english
Both of you made for each other...❤ Life is to show love.. that too we are humans..Happy ah Irunga rendu perum.. Supportive ah thoughts ku importance koduthu ... both live a happy life❤🎉.. Endrendrum Unga rendu perum nalla onna irukanumnu ninaikrom..  20.12.2024,tanglish
Yov yov yov intha paatuodhala illaya Cher edho nalla vishyam na rightu,tanglish
Madan bro couple ah oru channel open panna nalla irukum,tanglish
Iva onna already kalativituta apuuram enn ivalaye Oru nalla ponnu unaku kadaikulaya,tanglish
Made for each other..வாழ்த்துக்கள்,tamil_english
இனிய திருமண வாழ்த்துக்கள் Bro ✨️,tamil_english
"வாழ்த்துக்கள் மதன் சகோ 🎊 வாழ்க வளமுடன் , u r my inspiration 💚🙏",tamil_english
super Song தலைவா👍👍👍👍👍👍👍👍👍👍🙏🙏🙏🙏🙏🙏🙏,tamil_english
Ena da ponnu thala apidi irukuthu..,tanglish
"வாழ்த்துக்கள் அண்ணா 🤝🏼😍 இதை பார்க்கும்போது மனசுக்கு நிறைவாக இருக்கிறது 
I feel so so happy😍😍",tamil_english
This song is in repeat mood Nalla song bro specially for ur wife 😍,tanglish
"நீண்ட சுகத்தோடும்
நீண்ட ஆயுலோடும்
நீங்க சிரிப்போடும் 
வாழ வாழ்த்துகிறோம் .
இப்படிக்கு ✧*。MG Squad ♡",tamil_english
"Kushi dialogue : நம்ம பண்ணுற காதல் உண்மை என்றால், அந்த காதல் ஒரு நாள் நம்மை சேர்த்து வைக்கும்..... 💯💯💯",tamil_english
Gowri Kalyanam song nalla tha irunthau,tanglish
இதற்கு தானே ஆசைப்பட்டாய் பாலகுமாரா..... Chennal start panna  target completed.,tamil_english
Bro ஒரு மரணத்துக்கு பதில் ஒன்னொரு மரணந்தா... அந்த ஸ்கூல் பிரின்சிபால் சாவா.... 😡😡😡😡,tamil_english
Anna neeingalum ungala pola nalla vaingal katthi katthi judgement kettalum judgement kedaikeve kedaikathu. Government and government servant are only for money. Example ku bench table la thirumba vangi  kudutha government super,tanglish
"Dear  parents first ungalota பெருமை kaka pasangala cbse, international School nu serkuratha avoid pannunga. Pasanga onnum race horse ila.. Neenga money waste panni periya school la perumaiya serthu vidu avangala mark niraya vangunu pressure kudukathenga..sudden ah hostel la kondu poi vidurenga... Relative friend s nu Jolly ah irunthavanga new place new friends nu seekiram adjust panna matanga.. Naanum parkuren niraya parents mark low ah vanguna enkita pesathanu pasangala solrenga... Ithu ellam enna niyayam? Naanga elam parents kita veetla iruka periyavanga kita teacher kita thittu vangi valarnthu vanthavanga.. Periyavanga thituna nallathuku than thituvanga.. So atha motive ah eduthukonga.. Again and again same mistake pannakutathu nu solli pillaingala valarungal🙏🙏🙏mark mattum than life nu solli yen avangala force pantrenga? Padika kastama iruntha government school la serthu vidunga. Atha yen asingam nu ninaikirenga? Panathaium koduthu uyiraium yen pali kodukurenga?  Koncham yosinga....",tamil_english
இவ் வழக்கு  பொலிஸால் investigate பண்ணுவதை விட please appoint the best criminologist& fingerprint expert&handwriting experts then this case automatically get all the truth   about this death please 🙏  and if any medias please you can make the queations & ask all that response from srimathis's mothers questions imediately,tamil_english
Nalla kadhai Vidran pa news ivanukku theriyaadham eppavume yourube laye irukkan appuram eppadi 😇😇,tanglish
"CCTV கட்சிகள் நிச்சயம் அழிக்க பட்டிருக்கும்.போலீஸ் ஏன் முந்திரிகிட்டாங்க லெட்டர் எடுக்க, தடயவியல் துறை எதற்கு உள்ளது. Local police ஒரு கைஊலி.CBCID முதலில் local police ஐ விசாரணை நடத்த வேண்டும்",tamil_english
"எங்கே அடக்க முறையும், ஆட்சிமுறையும் , தலை விரித்து ஆடுகிறதோ , அங்கே புரட்சி உண்டாக்க வேண்டும் ✨⚠️


Justice For Sri Mathi 🙌💔",tamil_english
நீங்க தயவு செய்து அந்த குழந்தை க்கு நிதி வங்கித் தாங்க pls 🙏 🙏🙏🙏🙏🙏🙏🙏  மாடியில் ரத்தம் எப்பாடி வந்தது?????,tamil_english
அண்ணா எனக்கு ஒரு முக்கியமான சந்தேகம் அந்த school ல already 7girls death nu சொல்ராங்க அந்த பொண்ணுங்க இறந்து போன நியூஸ் எதுமே வரலையே ஏன் ஸ்ரீமதி இறந்த விஷயம் மட்டும் இவ்ளோ பரவிருக்கு மக்கள் மத்தில 1st அந்த 7 பொண்ணுங்களோட death detail um போலீஸ் invasticate பண்ணனும்,tamil_english
Kandippa neenga pesurathu 100 persentage correct teachers pillaigala purinchikkama tha neraiya school intha pracha athigam......un educated not experience teachers pottu schoola students a targer hurt panra mathri pesuranga ungala mathri nalla ulla kond pasanga mun varanum.....thank u so much thambi.....justice for srimathi,tanglish
